"Timestamp","What is your age?","Which Social Media platform/s do you like the most or use the most?","How much time do you spend on social media in a day?(hrs)","How much time do you spend on physical activities in a day?(hrs)","How much do you feel that you are exposed to inappropriate content on these platforms?","Have you ever been a victim of any of these cyber crimes?","Which type of communication do you generally prefer?"
"2022/01/17 9:38:01 pm GMT+5:30","65","Whatsapp;Facebook;Youtube","1 to 2.5","Up to 4","4","Fake profiles;Photos being misused",""
"2022/01/17 9:38:11 pm GMT+5:30","33","Whatsapp;Instagram;Snapchat","Up to 4","1 to 2.5","5","None","Face to face;Through social media"
"2022/01/17 9:38:15 pm GMT+5:30","53","Twitter;Instagram;Hike","Up to 4","Up to 4","2","Fake profiles;Hacking","Through phone;Face to face"
"2022/01/17 9:38:27 pm GMT+5:30","33","Instagram;Hike;Snapchat","Up to 4","None","3","Fake profiles;Photos being misused","Face to face;Through social media"
"2022/01/17 9:38:37 pm GMT+5:30","70","Hike","Less than 1","More than 4","1","Fake profiles;Hacking","Through phone;Face to face"
"2022/01/17 9:38:46 pm GMT+5:30","41","Facebook;Snapchat","1 to 2.5","Less than 1","3","Fake profiles;Hacking","Through phone;Text message;Face to face;Through social media"
"2022/01/17 9:38:47 pm GMT+5:30","67","Youtube","Less than 1","Less than 1","6","Fake profiles;Hacking","Through phone;Text message"
"2022/01/17 9:38:54 pm GMT+5:30","58","Facebook;Hike;Snapchat","More than 4","More than 4","2","Fake profiles;Hacking",""
"2022/01/17 9:39:06 pm GMT+5:30","19","Whatsapp;Facebook;Hike","1 to 2.5","None","8","Fake profiles","Face to face;Through social media"
"2022/01/17 9:39:07 pm GMT+5:30","34","Twitter;Whatsapp;Youtube","Up to 4","More than 4","1","Photos being misused;None",""
"2022/01/17 9:39:12 pm GMT+5:30","32","Twitter;Whatsapp;Facebook","1 to 2.5","1 to 2.5","3","Photos being misused;None","Through phone;Through social media"
"2022/01/17 9:39:17 pm GMT+5:30","14","Twitter","Up to 4","More than 4","0","None","Text message;Face to face"
"2022/01/17 9:39:19 pm GMT+5:30","59","Youtube","Less than 1","None","7","Photos being misused;Hacking","Through phone;Text message"
